分類,施設名,所在地,緯度,経度,電話番号,FAX番号,駐車可能台数,トイレ,多目的トイレ,授乳室,AED,一次避難所,URL,主な業務・施設概要,,,,,,,,,,,,
保健所・教育総合センター,はぐくみセンター(保健所・教育総合センター),奈良県奈良市三条本町13-1,34.679181,135.817365,0742-34-2303,0742-34-4852,116,○,○,○,○,―,http://www.city.nara.lg.jp/www/contents/1363929842528/index.html,―,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,市庁(市役所),奈良県奈良市二条大路南1-1-1,34.685072,135.804848,0742-34-1111,0742-36-3552,240,○,○,○,○,―,http://www.city.nara.lg.jp/www/contents/1148449929945/index.html,―,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,市民サービスセンター,奈良県奈良市西大寺東町2-4-1ならファミリー5F,34.694884,135.785088,0742-36-5913,―,2000,○,○,○,○,―,http://www.city.nara.lg.jp/www/contents/1148882378839/index.html,▼住民票の写し、住民票記載事項証明書の交付▼印鑑登録証明書、年金現況証明書の交付▼戸(除)籍全部・個人事項証明及び改製原戸籍謄抄本、並びに戸籍の附票の交付▼市税、国民健康保険料、介護保険料、後期高齢者医療保険料の納付※税務証明書(所得証明・課税証明等)の交付業務は取り扱っていません。※土・日・祝は一部交付できない証明があります。,,,,,,,,,,,,
墓地・火葬場,東山霊苑火葬場,奈良県奈良市白毫寺町973,34.669077,135.849699,―,―,10,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1210569206415/index.html,―,,,,,,,,,,,,
墓地・火葬場,七条町南山墓地,奈良県奈良市七条西町1-19,34.662867,135.775394,―,―,0,―,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1210569206415/index.html,―,,,,,,,,,,,,
墓地・火葬場,寺山霊苑,奈良県奈良市白毫寺町984-3,34.670935,135.852445,0742-22-7022,―,0,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1210569206415/index.html,―,,,,,,,,,,,,
病院・診療所,市立奈良病院,奈良県奈良市東紀寺町1-50-1,34.671954,135.835311,0742-24-1251,―,230,○,○,○,○,―,http://www.nara-jadecom.jp/,―,,,,,,,,,,,,
病院・診療所,田原診療所,奈良県奈良市横田町336-1,34.658256,135.910348,0742-81-0027,―,12,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1205826226058/index.html,―,,,,,,,,,,,,
病院・診療所,柳生診療所,奈良県奈良市邑地町2786,34.719574,135.979065,0742-94-0210,―,10,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1206515957032/index.html,―,,,,,,,,,,,,
病院・診療所,月ヶ瀬診療所,奈良県奈良市月ヶ瀬尾山2790,34.711068,136.044644,0743-92-0030,―,24,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1206514933096/index.html,―,,,,,,,,,,,,
病院・診療所,興東診療所,奈良県奈良市大柳生町4254,34.716053,135.92278,0742-93-0130,―,8,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1462958608491/index.html,―,,,,,,,,,,,,
病院・診療所,都祁診療所,奈良県奈良市都祁白石町1084,34.60388,135.957412,0743-82-1411,―,10,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1206515521860/index.html,―,,,,,,,,,,,,
病院・診療所,休日夜間応急診療所,奈良県奈良市柏木町519-28,34.672804,135.800144,0742-34-1228,―,39,○,○,○,○,―,http://www.city.nara.lg.jp/www/contents/1177026292738/index.html,―,,,,,,,,,,,,
病院・診療所,休日歯科応急診療所,奈良県奈良市左京5-3-1総合福祉センター2F,34.715787,135.80983,0742-70-4182,―,146,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1177026292738/index.html,―,,,,,,,,,,,,
看護専門学校,看護専門学校,奈良県奈良市紀寺町371-2,34.669231,135.832682,0742-81-3301,0742-81-3302,1,○,○,―,―,―,http://naracns.jp,奈良市立看護専門学校は、看護師養成のため、平成25年4月開校。,,,,,,,,,,,,
