都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,業種,住所,方書,LAT,LON,電話番号,備考
292010,0000000001,奈良県,奈良市,アルション_デリ・カフェ,アルション_デリ・カフェ,飲食店営業,奈良県奈良市西大寺東町2-1-63,サンワシティ1F,"34.694554","135.783704",0742-30-5210,
292010,0000000002,奈良県,奈良市,田舎料理_草ノ戸,イナカリョウリ_クサノエ,飲食店営業,奈良県奈良市六条町151,,"34.670175","135.791143",0742-33-3017,
292010,0000000003,奈良県,奈良市,イル・ベーネ,イル・ベーネ,飲食店営業,奈良県奈良市法蓮佐保山3-2-16,,"34.699995","135.828455",0742-27-8880,
292010,0000000004,奈良県,奈良市,うどん_むぎの蔵,ウドン_ムギノクラ,飲食店営業,奈良県奈良市東向中町11 ,,"34.683456","135.828935",0742-27-6088,
292010,0000000005,奈良県,奈良市,うどん屋晴れ,ウドンヤハレ,飲食店営業,奈良県奈良市法蓮町632-3,一條ビル1F,"34.691828","135.815451",080-4760-0111,
292010,0000000006,奈良県,奈良市,オーガニックカフェ_ミルクティー,オーガニックカフェ_ミルクティー,飲食店営業,奈良県奈良市鳥見町1-1-10-104,,"34.691785","135.731314",0742-43-8008,
292010,0000000007,奈良県,奈良市,かえる庵,カエルアン,飲食店営業,奈良県奈良市下三条町24-1,,"34.681698","135.823631",0742-24-8345,
292010,0000000008,奈良県,奈良市,Café_de_Nature,カフェ_ドゥ_ナチュレ,飲食店営業,奈良県奈良市登大路59,,"34.684531","135.837061",0742-22-0896,
292010,0000000009,奈良県,奈良市,Cafe48,カフェ48,飲食店営業,奈良県奈良市北市町56-1,,"34.688409","135.822088",0742-22-5776,
292010,0000000010,奈良県,奈良市,café_WAKAKUSA,カフェ_ワカクサ,飲食店営業,奈良県奈良市東向北町22,,"34.685374","135.829067",0742-95-4554,
292010,0000000011,奈良県,奈良市,カラオケ恵,カラオケメグミ,飲食店営業,奈良県奈良市邑地町2304,,"34.728348","135.980681",0742-94-0600,
292010,0000000012,奈良県,奈良市,キャラメル,キャラメル,飲食店営業,奈良県奈良市南市町14-5,,"34.680474","135.829624",090-7344-3760,
292010,0000000013,奈良県,奈良市,衣掛茶屋,キヌガケチャヤ,飲食店営業,奈良県奈良市登大路町猿沢49,,"34.681897","135.830851",0742-26-6057,
292010,0000000014,奈良県,奈良市,餃子のざ,ギョウザノザ,飲食店営業,奈良県奈良市杉ヶ町12-4,第2西田ビル102号室,"34.678377","135.822008",0742-23-0018,
292010,0000000015,奈良県,奈良市,古都屋,コトヤ,飲食店営業,奈良県奈良市若草山麓町107,,"34.685942","135.845816",0742-22-4337,
292010,0000000016,奈良県,奈良市,ごはんcaféにこちゃん堂,ゴハンカフェニコチャンドウ,飲食店営業,奈良県奈良市椿井町45,,"34.680941","135.827836",0742-26-2614,
292010,0000000017,奈良県,奈良市,ごはんや歩味,ゴハンヤアユミ,飲食店営業,奈良県奈良市三条宮前町2-1-2,,"34.681842","135.815298",0742-34-7878,
292010,0000000018,奈良県,奈良市,食房エスト,ショクフサエスト,飲食店営業,奈良県奈良市学園南1-1-15,,"34.696453","135.751951",0742-41-2202,
