都道府県コード又は市区町村コード	NO	都道府県名	市区町村名	名称	名称_カナ	業種	住所	方書	lat	lon	電話番号	備考
292010	1	奈良県	奈良市	アルション_デリ・カフェ	アルション_デリ・カフェ	飲食店営業	奈良県奈良市西大寺東町2-1-63	サンワシティ1F	"34,694,554"	"135,783,704"	0742-30-5210	
292010	2	奈良県	奈良市	田舎料理_草ノ戸	イナカリョウリ_クサノエ	飲食店営業	奈良県奈良市六条町151		"34,670,175"	"135,791,143"	0742-33-3017	
292010	3	奈良県	奈良市	イル・ベーネ	イル・ベーネ	飲食店営業	奈良県奈良市法蓮佐保山3-2-16		"34,699,995"	"135,828,455"	0742-27-8880	
292010	4	奈良県	奈良市	うどん_むぎの蔵	ウドン_ムギノクラ	飲食店営業	奈良県奈良市東向中町11 		"34,683,456"	"135,828,935"	0742-27-6088	
292010	5	奈良県	奈良市	うどん屋晴れ	ウドンヤハレ	飲食店営業	奈良県奈良市法蓮町632-3	一條ビル1F	"34,691,828"	"135,815,451"	080-4760-0111	
292010	6	奈良県	奈良市	オーガニックカフェ_ミルクティー	オーガニックカフェ_ミルクティー	飲食店営業	奈良県奈良市鳥見町1-1-10-104		"34,691,785"	"135,731,314"	0742-43-8008	
292010	7	奈良県	奈良市	かえる庵	カエルアン	飲食店営業	奈良県奈良市下三条町24-1		"34,681,698"	"135,823,631"	0742-24-8345	
292010	8	奈良県	奈良市	Caf?_de_Nature	カフェ_ドゥ_ナチュレ	飲食店営業	奈良県奈良市登大路59		"34,684,531"	"135,837,061"	0742-22-0896	
292010	9	奈良県	奈良市	Cafe48	カフェ48	飲食店営業	奈良県奈良市北市町56-1		"34,688,409"	"135,822,088"	0742-22-5776	
292010	10	奈良県	奈良市	caf?_WAKAKUSA	カフェ_ワカクサ	飲食店営業	奈良県奈良市東向北町22		"34,685,374"	"135,829,067"	0742-95-4554	
292010	11	奈良県	奈良市	カラオケ恵	カラオケメグミ	飲食店営業	奈良県奈良市邑地町2304		"34,728,348"	"135,980,681"	0742-94-0600	
292010	12	奈良県	奈良市	キャラメル	キャラメル	飲食店営業	奈良県奈良市南市町14-5		"34,680,474"	"135,829,624"	090-7344-3760	
292010	13	奈良県	奈良市	衣掛茶屋	キヌガケチャヤ	飲食店営業	奈良県奈良市登大路町猿沢49		"34,681,897"	"135,830,851"	0742-26-6057	
292010	14	奈良県	奈良市	餃子のざ	ギョウザノザ	飲食店営業	奈良県奈良市杉ヶ町12-4	第2西田ビル102号室	"34,678,377"	"135,822,008"	0742-23-0018	
292010	15	奈良県	奈良市	古都屋	コトヤ	飲食店営業	奈良県奈良市若草山麓町107		"34,685,942"	"135,845,816"	0742-22-4337	
292010	16	奈良県	奈良市	ごはんcaf?にこちゃん堂	ゴハンカフェニコチャンドウ	飲食店営業	奈良県奈良市椿井町45		"34,680,941"	"135,827,836"	0742-26-2614	
292010	17	奈良県	奈良市	ごはんや歩味	ゴハンヤアユミ	飲食店営業	奈良県奈良市三条宮前町2-1-2		"34,681,842"	"135,815,298"	0742-34-7878	
292010	18	奈良県	奈良市	食房エスト	ショクフサエスト	飲食店営業	奈良県奈良市学園南1-1-15		"34,696,453"	"135,751,951"	0742-41-2202	
292010	19	奈良県	奈良市	菅原の里_Caf?_Dinette 	スガワラノサト_カフェ_ディネット	飲食店営業	奈良県奈良市菅原町195-1		"34,688,653"	"135,781,851"	0742-41-4142	
292010	20	奈良県	奈良市	Slow_Food_Nino	スロー_フード_ニーノ	飲食店営業	奈良県奈良市西御門町11-11	プライムビル1F	"34,684,572"	"135,827,444"	0742-31-3650	
292010	21	奈良県	奈良市	天極堂_奈良本店	テンギョクドウ_ナラホンテン	飲食店営業	奈良県奈良市押上町1-6		"34,686,887"	"135,834,984"	0742-27-5011	
292010	22	奈良県	奈良市	天極堂_JR奈良駅店	テンギョクドウ_ジェーアールナラエキテン	飲食店営業	奈良県奈良市三条本町1-1		"34,681,398"	"135,819,258"	0742-20-6300	
292010	23	奈良県	奈良市	ドッグカフェ_ポコアポコ	ドッグカフェ_ポコアポコ	飲食店営業	奈良県奈良市鳥見町2-28-16		"34,689,510"	"135,723,814"	0742-54-1348	
292010	24	奈良県	奈良市	ナチュラルポエム村_夢りんご	ナチュラルポエムムラ_ユメリンゴ	飲食店営業	奈良県奈良市南京終町212-3		"34,670,237"	"135,829,183"	0742-27-6538	
292010	25	奈良県	奈良市	奈良祥樂_学園前店	ナラショウラク_ガクエンマエテン	飲食店営業	奈良県奈良市学園北2-1-5	ローレルコート学園前レジデンス1F	"34,697,581"	"135,751,799"	0742-51-5151	
292010	26	奈良県	奈良市	奈良大学_カフェ・ナラヤマ	ナラダイガク_カフェ・ナラヤマ	飲食店営業	奈良県奈良市山陵町1500	奈良大学講堂内	"34,714,181"	"135,784,519"	0742-51-7199	
292010	27	奈良県	奈良市	奈良大学_学生食堂	ナラダイガク_ガクセイショクドウ	飲食店営業	奈良県奈良市山陵町1500	奈良大学福利厚生棟B1F	"34,714,181"	"135,784,519"	0742-48-8923	
292010	28	奈良県	奈良市	奈良のうまいものプラザ	ナラノウマイモノプラザ	飲食店営業	奈良県奈良市三条本町1-1	JR奈良駅構内1F	"34,681,307"	"135,819,233"	0742-26-0088	
292010	29	奈良県	奈良市	奈良町あしびの郷	ナラマチアシビノサト	飲食店営業	奈良県奈良市脇戸町29		"34,677,877"	"135,828,641"	0742-26-6662	
292010	30	奈良県	奈良市	二鶴	ニカク	飲食店営業	奈良県奈良市椿井町51		"34,680,925"	"135,827,485"	0742-22-5841	
292010	31	奈良県	奈良市	パティスリーKARAKU	パティスリーカラク	飲食店営業	奈良県奈良市杉ヶ町73		"34,678,367"	"135,823,984"	0742-22-0050	
292010	32	奈良県	奈良市	ヒサゴ屋食堂	ヒサゴヤショクドウ	飲食店営業	奈良県奈良市鶴福院町32		"34,679,173"	"135,832,063"	0742-22-3795	
292010	33	奈良県	奈良市	まちの環境ステーション	マチノカンキョウステーション	飲食店営業	奈良県奈良市東木辻町34-2		"34,675,027"	"135,829,180"	0742-27-0360	
292010	34	奈良県	奈良市	マブハイ・キッチン	マブハイ・キッチン	飲食店営業	奈良県奈良市南市町18-6		"34,680,195"	"135,829,568"	0742-26-7765	
292010	35	奈良県	奈良市	麺屋あまのじゃくJR奈良店	メンヤアマノジャクジェーアールナラテン	飲食店営業	奈良県奈良市杉ヶ町35-1		"34,678,628"	"135,820,849"	0742-27-3298	
292010	36	奈良県	奈良市	Runner's_BAR_CORRER	ランナーズ_バル_コレール	飲食店営業	奈良県奈良市福智院町31-2		"34,677,024"	"135,834,993"	0742-93-8484	
292010	37	奈良県	奈良市	若草カレー本舗	ワカクサカレーホンポ	飲食店営業	奈良県奈良市餅飯殿町38-1		"34,680,774"	"135,828,920"	0742-24-8022	
292010	38	奈良県	奈良市	和モダンキッチン_にこすたいる	ワモダンキッチン_ニコスタイル	飲食店営業	奈良県奈良市高御門町13-1		"34,677,049"	"135,829,378"	0742-31-1557	
292010	39	奈良県	奈良市	やよい軒_奈良駅店	ヤヨイケン_ナラエキテン	飲食店営業	奈良県奈良市三条本町1-1		"34,681,206"	"135,819,094"	0742-25-5733	
